Area,Category,Item,Description,Date,Orders,Type of Order
Neo Tokyo,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,01-04-2022,58,Online
Elysium District,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,29-10-2023,143,Dining
Mystic Falls,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,27-07-2022,145,Dining
Arcadia Bay,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,24-06-2022,175,Online
Elysium District,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,18-11-2021,117,Takeaway
Mystic Falls,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,14-06-2022,35,Dining
Neo Tokyo,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,05-06-2022,2,Dining
Cyber City,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",25-04-2022,23,Dining
Neo Tokyo,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,02-12-2021,38,Takeaway
Mystic Falls,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",19-11-2021,196,Online
Mystic Falls,Drinks,XP Soda,A range of sodas in multiple epic flavors.,19-09-2023,135,Takeaway
Cyber City,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",12-08-2023,106,Takeaway
Mystic Falls,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,08-06-2022,197,Takeaway
Cyber City,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",18-02-2022,4,Takeaway
Cyber City,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,20-04-2023,39,Takeaway
Cyber City,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,11-11-2022,5,Online
Elysium District,Drinks,XP Soda,A range of sodas in multiple epic flavors.,08-01-2023,191,Dining
Elysium District,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,10-12-2021,118,Dining
Elysium District,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,24-08-2022,54,Takeaway
Arcadia Bay,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,25-09-2023,131,Takeaway
Arcadia Bay,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",20-02-2022,93,Dining
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",20-09-2023,76,Online
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",29-03-2023,130,Online
Elysium District,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",26-11-2022,158,Online
Elysium District,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,04-05-2022,52,Online
Cyber City,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,28-03-2023,81,Online
Arcadia Bay,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",19-06-2023,44,Takeaway
Cyber City,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,12-04-2022,192,Dining
Neo Tokyo,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,06-05-2022,152,Takeaway
Arcadia Bay,Drinks,XP Soda,A range of sodas in multiple epic flavors.,17-07-2023,129,Online
Neo Tokyo,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,29-04-2022,72,Dining
Elysium District,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",05-11-2022,137,Takeaway
Cyber City,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,18-11-2022,196,Takeaway
Neo Tokyo,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,08-06-2023,33,Takeaway
Elysium District,Drinks,XP Soda,A range of sodas in multiple epic flavors.,30-11-2022,42,Online
Mystic Falls,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",27-01-2022,185,Dining
Arcadia Bay,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,12-06-2022,158,Takeaway
Mystic Falls,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,25-09-2022,23,Takeaway
Arcadia Bay,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,26-07-2023,30,Takeaway
Arcadia Bay,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",17-01-2023,138,Takeaway
Cyber City,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,12-07-2023,95,Online
Elysium District,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,26-02-2023,99,Takeaway
Elysium District,Desserts,Power Pellet Pops,Fruit-infused ice pops.,17-07-2023,6,Online
Cyber City,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,04-05-2022,114,Online
Neo Tokyo,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,07-02-2023,143,Online
Arcadia Bay,Sides,Power-Up Fries,Seasoned fries with power-up dips.,31-05-2022,66,Takeaway
Elysium District,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,02-08-2022,124,Online
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",20-03-2023,143,Online
Mystic Falls,Desserts,Power Pellet Pops,Fruit-infused ice pops.,27-12-2022,12,Takeaway
Cyber City,Sides,Power-Up Fries,Seasoned fries with power-up dips.,06-05-2022,57,Takeaway
Arcadia Bay,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,26-11-2021,153,Dining
Elysium District,Sides,Power-Up Fries,Seasoned fries with power-up dips.,22-11-2021,141,Online
Neo Tokyo,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,18-09-2023,133,Takeaway
Arcadia Bay,Drinks,XP Soda,A range of sodas in multiple epic flavors.,03-01-2023,178,Online
Mystic Falls,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",24-12-2022,186,Takeaway
Cyber City,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,24-09-2023,139,Online
Cyber City,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,18-06-2022,135,Online
Mystic Falls,Drinks,XP Soda,A range of sodas in multiple epic flavors.,16-03-2022,162,Dining
Cyber City,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",21-12-2022,58,Takeaway
Mystic Falls,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,22-12-2021,73,Takeaway
Neo Tokyo,Drinks,XP Soda,A range of sodas in multiple epic flavors.,29-06-2022,78,Online
Cyber City,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,01-01-2023,195,Takeaway
Mystic Falls,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",18-04-2022,164,Takeaway
Arcadia Bay,Desserts,Power Pellet Pops,Fruit-infused ice pops.,22-01-2022,102,Online
Arcadia Bay,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,10-06-2023,85,Online
Elysium District,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",29-09-2022,170,Dining
Mystic Falls,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,11-06-2022,117,Takeaway
Mystic Falls,Sides,Power-Up Fries,Seasoned fries with power-up dips.,03-06-2023,110,Online
Cyber City,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",19-01-2022,122,Online
Neo Tokyo,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,19-04-2023,5,Online
Cyber City,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,02-08-2022,31,Dining
Cyber City,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,29-04-2023,141,Dining
Elysium District,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,30-09-2023,154,Online
Neo Tokyo,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",22-02-2023,90,Online
Cyber City,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",31-08-2022,108,Takeaway
Arcadia Bay,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",26-02-2023,98,Dining
Neo Tokyo,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,01-10-2023,91,Online
Cyber City,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,01-06-2023,75,Takeaway
Elysium District,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",16-08-2022,186,Dining
Mystic Falls,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,03-12-2021,170,Takeaway
Neo Tokyo,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",03-11-2022,161,Dining
Elysium District,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,05-04-2023,87,Dining
Mystic Falls,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,16-04-2022,123,Takeaway
Mystic Falls,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",07-03-2022,157,Online
Mystic Falls,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",01-04-2023,96,Dining
Elysium District,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,14-05-2022,116,Dining
Elysium District,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,06-01-2022,181,Online
Cyber City,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",12-09-2022,164,Online
Neo Tokyo,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,09-09-2022,28,Takeaway
Neo Tokyo,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,18-11-2021,46,Takeaway
Arcadia Bay,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,14-11-2022,25,Dining
Mystic Falls,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",24-04-2023,95,Takeaway
Cyber City,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",24-02-2023,88,Takeaway
Elysium District,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,10-08-2022,113,Online
Arcadia Bay,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",22-11-2021,167,Takeaway
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",04-12-2021,189,Takeaway
Mystic Falls,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,23-11-2021,160,Takeaway
Cyber City,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,02-02-2023,155,Takeaway
Elysium District,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,27-10-2023,81,Takeaway
Neo Tokyo,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,29-05-2023,59,Dining
Arcadia Bay,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,08-05-2022,37,Online
Neo Tokyo,Sides,Power-Up Fries,Seasoned fries with power-up dips.,06-08-2022,44,Dining
Cyber City,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,04-02-2023,80,Takeaway
Elysium District,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,20-09-2022,59,Takeaway
Cyber City,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",28-05-2022,105,Takeaway
Elysium District,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,11-04-2022,98,Dining
Arcadia Bay,Drinks,XP Soda,A range of sodas in multiple epic flavors.,10-12-2022,66,Takeaway
Arcadia Bay,Desserts,Power Pellet Pops,Fruit-infused ice pops.,22-01-2022,113,Online
Arcadia Bay,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,07-04-2022,83,Takeaway
Neo Tokyo,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",03-12-2022,83,Dining
Elysium District,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,13-11-2022,82,Dining
Elysium District,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,12-04-2022,8,Takeaway
Arcadia Bay,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,17-01-2022,104,Takeaway
Elysium District,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",11-11-2021,158,Takeaway
Arcadia Bay,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,19-01-2022,133,Online
Mystic Falls,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,06-05-2023,116,Online
Elysium District,Desserts,Power Pellet Pops,Fruit-infused ice pops.,15-05-2023,182,Takeaway
Arcadia Bay,Desserts,Power Pellet Pops,Fruit-infused ice pops.,11-07-2023,56,Online
Mystic Falls,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,21-06-2023,110,Dining
Neo Tokyo,Desserts,Power Pellet Pops,Fruit-infused ice pops.,20-12-2021,172,Dining
Elysium District,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,30-01-2022,84,Dining
Mystic Falls,Drinks,XP Soda,A range of sodas in multiple epic flavors.,18-08-2023,52,Takeaway
Cyber City,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",19-01-2023,121,Dining
Mystic Falls,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",28-01-2023,144,Dining
Elysium District,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",21-08-2022,73,Online
Neo Tokyo,Desserts,Power Pellet Pops,Fruit-infused ice pops.,01-07-2023,139,Takeaway
Mystic Falls,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,16-12-2021,90,Takeaway
Arcadia Bay,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",11-08-2022,2,Dining
Neo Tokyo,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,09-09-2023,82,Takeaway
Mystic Falls,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",29-03-2023,58,Takeaway
Neo Tokyo,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",20-04-2023,118,Online
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",05-05-2022,40,Online
Mystic Falls,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",22-12-2022,9,Online
Elysium District,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,05-12-2021,120,Dining
Neo Tokyo,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,07-07-2023,107,Online
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",29-04-2022,200,Dining
Arcadia Bay,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,10-05-2023,68,Online
Arcadia Bay,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,17-02-2022,134,Dining
Elysium District,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,20-04-2022,122,Dining
Elysium District,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",05-09-2023,156,Dining
Mystic Falls,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,09-02-2023,122,Dining
Mystic Falls,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",09-04-2023,54,Online
Arcadia Bay,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,09-09-2022,66,Takeaway
Cyber City,Sides,Power-Up Fries,Seasoned fries with power-up dips.,09-06-2023,117,Takeaway
Mystic Falls,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",22-08-2023,55,Dining
Arcadia Bay,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",02-08-2023,11,Online
Neo Tokyo,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",09-06-2022,66,Dining
Cyber City,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,08-10-2023,41,Takeaway
Arcadia Bay,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,25-03-2022,37,Online
Mystic Falls,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,31-08-2023,192,Takeaway
Elysium District,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",04-05-2023,24,Takeaway
Arcadia Bay,Sides,Power-Up Fries,Seasoned fries with power-up dips.,19-12-2022,176,Dining
Cyber City,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",17-06-2022,178,Takeaway
